player_id,playerName,numPasses
25714,Dimitri  Payet,1579
70389,C\u00e9dric Ricardo Alves Soares,1574
14812,Ivan Peri\u0161i\u0107,1574
294695,Tanguy Ndomb\u00e8l\u00e9 Alvaro,1571
14689,Ronaldo  Aparecido Rodrigues,1570
25770,Florian Thauvin,1568
5542,Daniel Garc\u00eda Carrillo,1560
50007,Berat  Djimsiti,1555
14718,M\u00e1rcio Rafael Ferreira de Souza,1553
77548,Joe Allen,1552
134102,,1551
36,Toby Alderweireld,1548
20749,Andrea Bertolacci,1543
14798,\u0141ukasz Piszczek,1542
41034,Rafael Tol\u00f3i,1542
8125,Jack Cork,1535
7887,Gary  Cahill,1530
356237,Giovani Lo Celso,1530
15051,Lars Stindl,1529
3803,Sergi Darder Moll,1528
14862,Julian Draxler,1525
130,Stefan de Vrij,1523
25623,Geoffrey Kondogbia,1522
20635,Francesco Acerbi,1521
21607,Fabrizio Cacciatore,1520
28232,Ibrahim Amadou,1519
11152,Moussa Sidi Yaya Demb\u00e9l\u00e9,1518
3788,Jordi Amat Maas,1517
18550,Emre Can,1516
3384,Jos\u00e9 Andr\u00e9s Guardado Hern\u00e1ndez,1516
3470,Jos\u00e9 \u00c1ngel G\u00f3mez Campa\u00f1a,1514
9285,Charlie Daniels,1511
397046,Houssem Aouar,1508
7885,Ryan Bertrand,1506
20404,Bryan Cristante,1506
214062,Alejandro Granell Nogu\u00e9,1505
56441,Lukas Lerager,1504
22162,Francesco Magnanelli,1503
277629,Pierre Lees Melou,1501
3484,Luis Alberto Romero Alconchel,1498
13484,Bamidele Alli,1495
22566,Alessandro  Florenzi,1494
70096,James David Rodr\u00edguez Rubio,1493
40810,Neymar da Silva Santos Junior,1490
15777,Daniel Baier,1490
25524,Papiss Mison Djilobodji,1487
14803,Sven Bender,1487
9279,Simon Francis,1486
8945,Kieran Trippier,1485
134427,Daniele Rugani,1483
38532,Ervin Zukanovi\u0107,1478
25647,Julien F\u00e9ret,1477
342743,Lucas Tousart,1474
135103,Andreas Christensen,1471
225996,Diego Javier Llorente R\u00edos,1471
20579,Medhi Amine El Mouttaqi Benatia,1471
236528,Nico Elvedi,1470
20866,Davide Astori,1465
7939,Ashley  Young,1463
4805,Anaitz Arbilla Zabala,1463
20448,Federico Viviani,1460
286223,Nicol\u00f2 Barella,1456
136441,Ben Davies,1454
25864,Lo\u00efc Perrin,1453
65075,Martin Hinteregger,1452
26196,Djibril Sidib\u00e9,1448
16843,Dominique Heintz,1445
9097,Lewis Dunk,1440
146588,Alessio Romagnoli,1438
14838,Christoph Kramer,1434
25999,R\u00e9my Cabella,1427
8319,James Milner,1426
7870,Aaron Ramsey,1424
3682,Antoine Griezmann,1423
20458,Andrea Barzagli,1422
77,Niklas Moisander,1421
